fips,percent_below_poverty,smoking_ban_2010,unemployment_rate_2019,average_2011_upper_bound_pct_obesity,rural_urban_continuum_code_2013,labels_small
40011,12.2,partial,3.1,45.31,6.0,2
40013,17.1,none,5.1,43.61,6.0,3
40015,18.9,none,6.7,46.375,6.0,1
40017,8.2,none,3.4,40.51,1.0,3
40019,16.1,partial,4.5,43.19,5.0,2
40021,22.1,none,7.5,45.985,6.0,1
40023,27.7,none,7.1,46.835,7.0,1
40025,16.8,none,0.1,45.68,9.0,3
40027,12.0,none,3.7,40.05,1.0,3
40029,22.0,none,5.6,49.335,9.0,1
40031,16.1,none,7.2,43.16,3.0,3
40033,18.2,none,5.9,46.215,3.0,3
40035,18.6,none,4.8,48.425,6.0,1
40037,15.0,none,3.3,45.325,2.0,3
40039,18.2,none,2.8,43.015,7.0,3
40041,18.3,comprehensive,6.7,45.31,6.0,0
40043,16.6,none,3.1,43.22,9.0,3
40045,16.0,none,6.9,40.71,9.0,3
40047,13.8,comprehensive,4.9,43.215,5.0,0
40049,15.2,none,2.9,45.635000000000005,6.0,3
40051,11.5,none,3.4,46.47,1.0,3
40053,6.9,comprehensive,3.1,45.09,9.0,0
40055,20.2,none,7.2,45.765,7.0,1
40057,14.7,none,3.3,47.31999999999999,9.0,3
40059,15.3,none,3.0,42.275,9.0,3
40061,19.1,none,8.3,48.105,6.0,1
40063,20.7,partial,9.0,50.565,7.0,1
40065,17.3,comprehensive,5.1,42.94,7.0,0
40067,21.4,none,6.3,46.395,8.0,1
40069,20.9,none,7.6,46.85,9.0,1
40071,17.3,none,6.3,45.495,5.0,3
40073,12.1,none,4.4,43.83,6.0,3
40075,24.0,none,5.3,45.17,6.0,1
40077,18.6,none,9.7,45.315,7.0,1
40079,20.7,none,5.2,43.89,2.0,3
40081,13.9,partial,4.7,45.02,1.0,2
40083,14.0,none,3.8,45.485,1.0,3
40085,15.0,none,4.2,44.64,9.0,3
40087,7.8,none,3.0,44.285,1.0,3
40089,22.7,none,5.6,47.16,7.0,1
40091,20.8,partial,6.0,47.18,6.0,2
40093,12.5,none,3.1,43.115,9.0,3
40095,17.0,partial,3.7,45.43,6.0,2
40097,18.1,none,5.1,47.175,6.0,1
40099,15.5,none,3.8,48.120000000000005,7.0,3
40101,21.1,none,5.8,44.055,4.0,3
40103,10.8,none,4.0,45.775,6.0,3
40105,15.9,none,7.6,49.005,6.0,1
40107,26.3,none,7.2,50.035,6.0,1
40109,16.0,none,4.1,39.400000000000006,1.0,3
40111,19.5,none,8.3,45.14,2.0,1
40113,15.6,none,5.7,45.275,2.0,3
40115,20.7,partial,5.4,46.52,6.0,2
40117,15.9,none,3.6,45.13,2.0,3
40119,26.8,none,3.5,41.255,4.0,3
40121,16.8,none,6.0,45.455,5.0,3
40123,14.7,none,4.4,46.185,7.0,3
40125,16.2,none,5.5,46.255,4.0,3
40127,20.4,none,5.7,47.4,9.0,1
40129,17.3,none,6.2,42.345,9.0,3
40131,9.9,none,4.2,42.295,2.0,3
40133,20.4,none,7.3,49.255,7.0,1
40135,21.5,none,6.9,46.760000000000005,2.0,1
40137,14.3,none,6.6,42.57,4.0,3
40139,19.6,none,2.3,43.91,7.0,3
40141,19.8,none,3.9,47.365,6.0,3
40143,15.0,none,5.0,38.29,2.0,3
40145,10.4,none,5.3,42.995000000000005,2.0,3
40147,13.3,none,4.8,42.275,4.0,3
40149,14.6,none,5.4,44.585,7.0,3
40151,13.2,none,4.3,42.120000000000005,7.0,3
40153,11.5,none,4.4,41.735,7.0,3
41001,12.4,none,6.4,41.010000000000005,7.0,3
41003,19.1,none,5.0,35.92,3.0,3
41005,8.0,none,4.1,36.635000000000005,1.0,3
41007,10.0,none,5.6,40.63,4.0,3
41009,11.7,none,5.3,42.885000000000005,1.0,3
41011,16.1,none,7.2,43.18,5.0,3
41013,13.5,none,6.3,41.095,6.0,3
41015,12.4,none,7.5,41.49,7.0,3
41017,10.8,none,4.8,32.265,3.0,3
41019,14.7,partial,6.4,42.085,4.0,2
41021,10.4,none,6.8,44.075,9.0,3
41023,18.1,comprehensive,8.8,40.755,9.0,0
41025,10.5,none,6.2,41.120000000000005,7.0,3
41027,6.2,none,3.3,40.755,6.0,3
41029,15.5,comprehensive,5.5,35.425,3.0,0
41031,17.9,none,8.3,44.245000000000005,6.0,1
41033,18.1,none,8.6,40.59,3.0,3
41035,19.5,none,7.4,38.705,5.0,3
41037,18.4,comprehensive,7.3,39.995000000000005,7.0,0
41039,17.6,none,6.2,36.53,2.0,3
41041,16.3,partial,6.0,41.34,5.0,2
41043,13.3,none,6.4,41.025,3.0,3
41045,21.8,none,5.2,43.010000000000005,6.0,3
41047,14.2,none,5.1,41.760000000000005,2.0,3
41049,14.5,none,3.6,46.595,6.0,3
41051,13.8,none,4.5,32.755,1.0,3
41053,12.6,none,5.4,43.59,2.0,3
41055,13.4,none,5.0,44.05,9.0,3
41057,13.1,partial,5.0,41.49,6.0,2
41059,17.9,none,6.1,46.06,4.0,3
41061,13.9,none,5.5,40.735,7.0,3
41063,13.6,none,4.9,41.260000000000005,9.0,3
41065,11.6,none,3.9,45.445,6.0,3
41067,8.9,none,3.9,35.11,1.0,3
41069,14.0,none,7.4,41.385,9.0,3
41071,12.1,none,3.8,41.315,1.0,3
42001,7.8,comprehensive,3.1,42.14,3.0,0
42003,11.6,partial,4.5,38.23,1.0,2
42005,11.1,none,5.3,43.69,1.0,3
42007,11.0,none,4.7,44.29,1.0,3
42009,11.9,none,4.1,46.12,6.0,3
42011,12.0,partial,5.3,40.61,2.0,2
42013,14.7,partial,3.9,45.17,3.0,2
42015,12.7,partial,4.5,43.615,6.0,2
42017,5.9,partial,3.9,35.325,1.0,2
42019,8.2,comprehensive,3.5,40.255,1.0,0
42021,15.4,partial,5.4,46.595,3.0,2
42023,15.3,partial,4.6,45.645,7.0,2
42025,11.7,partial,6.2,43.955,2.0,2
42027,18.2,partial,3.9,38.885000000000005,3.0,2
42029,6.4,none,3.7,33.89,1.0,3
42031,16.3,partial,5.1,43.175,6.0,2
42033,14.6,partial,5.8,44.1,4.0,2
42035,15.5,comprehensive,5.0,44.365,4.0,0
42037,15.0,none,4.4,45.61,3.0,3
42039,13.2,none,4.9,41.69,4.0,3
42041,6.9,none,3.0,38.645,2.0,3
42043,12.3,partial,4.1,43.375,2.0,2
42045,10.0,comprehensive,5.0,36.855,1.0,0
42047,9.5,partial,3.7,42.07,7.0,2
42049,16.0,partial,5.1,40.49,2.0,2
42051,17.3,none,6.4,45.165,1.0,3
42053,18.1,none,4.8,47.205,9.0,1
42055,9.3,partial,4.6,43.645,3.0,2
42057,11.3,none,5.2,46.635000000000005,8.0,3
42059,13.5,comprehensive,3.8,47.245000000000005,6.0,0
42061,12.3,partial,4.9,43.85,6.0,2
42063,16.3,partial,5.7,43.290000000000006,4.0,2
42065,15.1,none,3.4,42.215,7.0,3
42067,10.8,partial,3.3,47.505,6.0,2
42069,14.7,partial,4.3,38.555,2.0,2
42071,10.1,partial,3.4,41.465,2.0,2
42073,13.8,none,6.2,43.245000000000005,4.0,3
42075,10.8,partial,4.1,43.91,3.0,2
42077,12.5,partial,5.3,39.9,2.0,2
42079,14.7,partial,5.4,40.44,2.0,2
42081,13.6,partial,4.8,42.84,3.0,2
42083,16.1,none,6.0,42.765,7.0,3
42085,13.9,comprehensive,4.6,42.035,2.0,0
42087,13.5,partial,2.9,46.02,4.0,2
42089,11.2,none,6.0,40.275000000000006,3.0,3
42091,5.9,none,3.9,33.915,1.0,3
42093,10.5,partial,1.7,34.385,3.0,2
42095,8.6,none,4.4,40.615,2.0,3
42097,13.2,none,4.7,46.455,4.0,3
42099,9.3,none,3.2,45.7,2.0,3
42101,24.3,partial,8.5,40.905,1.0,2
42103,9.5,none,7.0,41.11,1.0,3
42105,13.5,partial,5.9,44.095,9.0,2
42107,12.4,partial,5.4,44.725,4.0,2
42109,10.4,partial,2.2,45.7,7.0,2
42111,12.4,partial,4.5,46.545,4.0,2
42113,13.2,none,5.1,45.835,8.0,3
42115,12.0,partial,6.2,43.43,6.0,2
42117,13.2,partial,4.9,42.85,6.0,2
42119,11.8,none,3.1,42.355,4.0,3
42121,12.9,partial,6.1,43.395,4.0,2
42123,12.6,none,4.1,42.44499999999999,6.0,3
42125,9.2,none,4.8,42.615,1.0,3
42127,11.4,none,4.5,41.620000000000005,6.0,3
42129,10.0,partial,3.9,39.650000000000006,1.0,2
42131,10.4,partial,5.0,43.78,2.0,2
42133,9.6,none,3.9,42.935,2.0,3
44001,7.5,comprehensive,3.5,32.775,1.0,0
44003,7.6,none,3.8,36.615,1.0,3
44005,8.7,comprehensive,4.0,31.73,1.0,0
44007,15.2,comprehensive,5.4,37.2,1.0,0
44009,8.6,none,5.6,32.09,1.0,3
